Id,ActivityHour,TotalSteps,TotalIntensity,Calories
8053475328,2016-04-12 03:00:00 UTC,0,0,73
8053475328,2016-04-12 04:00:00 UTC,0,0,73
8053475328,2016-04-12 05:00:00 UTC,0,0,73
8053475328,2016-04-12 06:00:00 UTC,0,0,73
8053475328,2016-04-12 07:00:00 UTC,0,0,73
8053475328,2016-04-12 08:00:00 UTC,0,0,73
8053475328,2016-04-12 09:00:00 UTC,0,0,73
8053475328,2016-04-12 10:00:00 UTC,0,0,73
8053475328,2016-04-13 02:00:00 UTC,0,0,73
8053475328,2016-04-13 03:00:00 UTC,0,0,73
8053475328,2016-04-13 04:00:00 UTC,0,0,73
8053475328,2016-04-13 05:00:00 UTC,0,0,73
8053475328,2016-04-13 06:00:00 UTC,0,0,73
8053475328,2016-04-13 07:00:00 UTC,0,0,73
8053475328,2016-04-13 08:00:00 UTC,0,0,73
8053475328,2016-04-13 09:00:00 UTC,0,0,73
8053475328,2016-04-13 15:00:00 UTC,0,0,73
8053475328,2016-04-14 03:00:00 UTC,0,0,73
8053475328,2016-04-14 04:00:00 UTC,0,0,73
8053475328,2016-04-14 05:00:00 UTC,0,0,73
8053475328,2016-04-14 06:00:00 UTC,0,0,73
8053475328,2016-04-14 07:00:00 UTC,0,0,73
8053475328,2016-04-14 08:00:00 UTC,0,0,73
8053475328,2016-04-14 09:00:00 UTC,0,0,73
8053475328,2016-04-15 03:00:00 UTC,0,0,73
8053475328,2016-04-15 04:00:00 UTC,0,0,73
8053475328,2016-04-15 05:00:00 UTC,0,0,73
8053475328,2016-04-15 06:00:00 UTC,0,0,73
8053475328,2016-04-15 07:00:00 UTC,0,0,73
8053475328,2016-04-15 08:00:00 UTC,0,0,73
8053475328,2016-04-15 09:00:00 UTC,0,0,73
8053475328,2016-04-15 10:00:00 UTC,0,0,73
8053475328,2016-04-15 23:00:00 UTC,0,0,73
8053475328,2016-04-16 00:00:00 UTC,0,0,73
8053475328,2016-04-16 01:00:00 UTC,0,0,73
8053475328,2016-04-16 02:00:00 UTC,0,0,73
8053475328,2016-04-16 04:00:00 UTC,0,0,73
8053475328,2016-04-16 05:00:00 UTC,0,0,73
8053475328,2016-04-16 06:00:00 UTC,0,0,73
8053475328,2016-04-16 07:00:00 UTC,0,0,73
8053475328,2016-04-16 08:00:00 UTC,0,0,73
8053475328,2016-04-16 09:00:00 UTC,0,0,73
8053475328,2016-04-16 10:00:00 UTC,0,0,73
8053475328,2016-04-16 23:00:00 UTC,0,0,73
8053475328,2016-04-17 00:00:00 UTC,0,0,73
8053475328,2016-04-17 01:00:00 UTC,0,0,73
8053475328,2016-04-17 02:00:00 UTC,0,0,73
8053475328,2016-04-17 03:00:00 UTC,0,0,73
8053475328,2016-04-17 05:00:00 UTC,0,0,73
8053475328,2016-04-17 06:00:00 UTC,0,0,73
8053475328,2016-04-17 07:00:00 UTC,0,0,73
8053475328,2016-04-17 08:00:00 UTC,0,0,73
8053475328,2016-04-17 09:00:00 UTC,0,0,73
8053475328,2016-04-17 10:00:00 UTC,0,0,73
8053475328,2016-04-17 11:00:00 UTC,0,0,73
8053475328,2016-04-17 12:00:00 UTC,0,0,73
8053475328,2016-04-18 03:00:00 UTC,0,0,73
8053475328,2016-04-18 04:00:00 UTC,0,0,73
8053475328,2016-04-18 05:00:00 UTC,0,0,73
8053475328,2016-04-18 06:00:00 UTC,0,0,73
8053475328,2016-04-18 07:00:00 UTC,0,0,73
8053475328,2016-04-18 08:00:00 UTC,0,0,73
8053475328,2016-04-18 09:00:00 UTC,0,0,73
8053475328,2016-04-18 10:00:00 UTC,0,0,73
8053475328,2016-04-19 02:00:00 UTC,0,0,73
8053475328,2016-04-19 03:00:00 UTC,0,0,73
8053475328,2016-04-19 04:00:00 UTC,0,0,73
8053475328,2016-04-19 05:00:00 UTC,0,0,73
8053475328,2016-04-19 06:00:00 UTC,0,0,73
8053475328,2016-04-19 07:00:00 UTC,0,0,73
8053475328,2016-04-19 08:00:00 UTC,0,0,73
8053475328,2016-04-19 09:00:00 UTC,0,0,73
8053475328,2016-04-19 10:00:00 UTC,0,0,73
8053475328,2016-04-20 03:00:00 UTC,0,0,73
8053475328,2016-04-20 04:00:00 UTC,0,0,73
8053475328,2016-04-20 05:00:00 UTC,0,0,73
8053475328,2016-04-20 06:00:00 UTC,0,0,73
8053475328,2016-04-20 07:00:00 UTC,0,0,73
8053475328,2016-04-20 08:00:00 UTC,0,0,73
8053475328,2016-04-20 09:00:00 UTC,0,0,73
8053475328,2016-04-21 03:00:00 UTC,0,0,73
8053475328,2016-04-21 04:00:00 UTC,0,0,73
8053475328,2016-04-21 05:00:00 UTC,0,0,73
8053475328,2016-04-21 06:00:00 UTC,0,0,73
8053475328,2016-04-21 07:00:00 UTC,0,0,73
8053475328,2016-04-21 08:00:00 UTC,0,0,73
8053475328,2016-04-21 09:00:00 UTC,0,0,73
8053475328,2016-04-22 03:00:00 UTC,0,0,73
8053475328,2016-04-22 04:00:00 UTC,0,0,73
8053475328,2016-04-22 05:00:00 UTC,0,0,73
8053475328,2016-04-22 06:00:00 UTC,0,0,73
8053475328,2016-04-22 07:00:00 UTC,0,0,73
8053475328,2016-04-22 08:00:00 UTC,0,0,73
8053475328,2016-04-22 09:00:00 UTC,0,0,73
8053475328,2016-04-22 10:00:00 UTC,0,0,73
8053475328,2016-04-23 04:00:00 UTC,0,0,73
8053475328,2016-04-23 05:00:00 UTC,0,0,73
8053475328,2016-04-23 06:00:00 UTC,0,0,73
8053475328,2016-04-23 07:00:00 UTC,0,0,73
8053475328,2016-04-23 08:00:00 UTC,0,0,73
8053475328,2016-04-23 09:00:00 UTC,0,0,73
8053475328,2016-04-23 10:00:00 UTC,0,0,73
8053475328,2016-04-23 11:00:00 UTC,0,0,73
8053475328,2016-04-24 03:00:00 UTC,0,0,73
8053475328,2016-04-24 04:00:00 UTC,0,0,73
8053475328,2016-04-24 05:00:00 UTC,0,0,73
8053475328,2016-04-24 06:00:00 UTC,0,0,73
8053475328,2016-04-24 07:00:00 UTC,0,0,73
8053475328,2016-04-24 08:00:00 UTC,0,0,73
8053475328,2016-04-24 09:00:00 UTC,0,0,73
8053475328,2016-04-24 10:00:00 UTC,0,0,73
8053475328,2016-04-24 11:00:00 UTC,0,0,73
8053475328,2016-04-24 12:00:00 UTC,0,0,73
8053475328,2016-04-25 00:00:00 UTC,0,0,73
8053475328,2016-04-25 02:00:00 UTC,0,0,73
8053475328,2016-04-25 03:00:00 UTC,0,0,73
8053475328,2016-04-25 04:00:00 UTC,0,0,73
8053475328,2016-04-25 05:00:00 UTC,0,0,73
8053475328,2016-04-25 06:00:00 UTC,0,0,73
8053475328,2016-04-25 07:00:00 UTC,0,0,73
8053475328,2016-04-25 08:00:00 UTC,0,0,73
8053475328,2016-04-25 09:00:00 UTC,0,0,73
8053475328,2016-04-26 03:00:00 UTC,0,0,73
8053475328,2016-04-26 04:00:00 UTC,0,0,73
8053475328,2016-04-26 05:00:00 UTC,0,0,73
8053475328,2016-04-26 06:00:00 UTC,0,0,73
8053475328,2016-04-26 07:00:00 UTC,0,0,73
8053475328,2016-04-26 08:00:00 UTC,0,0,73
8053475328,2016-04-26 09:00:00 UTC,0,0,73
8053475328,2016-04-27 00:00:00 UTC,0,0,73
8053475328,2016-04-27 03:00:00 UTC,0,0,73
8053475328,2016-04-27 04:00:00 UTC,0,0,73
8053475328,2016-04-27 05:00:00 UTC,0,0,73
8053475328,2016-04-27 06:00:00 UTC,0,0,73
8053475328,2016-04-27 07:00:00 UTC,0,0,73
8053475328,2016-04-27 08:00:00 UTC,0,0,73
8053475328,2016-04-27 09:00:00 UTC,0,0,73
8053475328,2016-04-27 15:00:00 UTC,0,0,73
8053475328,2016-04-28 00:00:00 UTC,0,0,73
8053475328,2016-04-28 01:00:00 UTC,0,0,73
8053475328,2016-04-28 02:00:00 UTC,0,0,73
8053475328,2016-04-28 03:00:00 UTC,0,0,73
8053475328,2016-04-28 04:00:00 UTC,0,0,73
8053475328,2016-04-28 05:00:00 UTC,0,0,73
8053475328,2016-04-28 06:00:00 UTC,0,0,73
8053475328,2016-04-28 07:00:00 UTC,0,0,73
8053475328,2016-04-28 08:00:00 UTC,0,0,73
8053475328,2016-04-28 09:00:00 UTC,0,0,73
8053475328,2016-04-28 10:00:00 UTC,0,0,73
8053475328,2016-04-29 03:00:00 UTC,0,0,73
8053475328,2016-04-29 04:00:00 UTC,0,0,73
8053475328,2016-04-29 05:00:00 UTC,0,0,73
8053475328,2016-04-29 06:00:00 UTC,0,0,73
8053475328,2016-04-29 07:00:00 UTC,0,0,73
8053475328,2016-04-29 08:00:00 UTC,0,0,73
8053475328,2016-04-29 09:00:00 UTC,0,0,73
8053475328,2016-04-29 10:00:00 UTC,0,0,73
8053475328,2016-04-30 05:00:00 UTC,0,0,73
8053475328,2016-04-30 06:00:00 UTC,0,0,73
8053475328,2016-04-30 07:00:00 UTC,0,0,73
8053475328,2016-04-30 08:00:00 UTC,0,0,73
8053475328,2016-04-30 09:00:00 UTC,0,0,73
8053475328,2016-04-30 10:00:00 UTC,0,0,73
8053475328,2016-04-30 11:00:00 UTC,0,0,73
8053475328,2016-05-01 00:00:00 UTC,0,0,73
8053475328,2016-05-01 01:00:00 UTC,0,0,73
8053475328,2016-05-01 02:00:00 UTC,0,0,73
8053475328,2016-05-01 03:00:00 UTC,0,0,73
8053475328,2016-05-01 04:00:00 UTC,0,0,73
8053475328,2016-05-01 05:00:00 UTC,0,0,73
8053475328,2016-05-01 06:00:00 UTC,0,0,73
8053475328,2016-05-01 08:00:00 UTC,0,0,73
8053475328,2016-05-01 09:00:00 UTC,0,0,73
8053475328,2016-05-01 10:00:00 UTC,0,0,73
8053475328,2016-05-01 11:00:00 UTC,0,0,73
8053475328,2016-05-01 12:00:00 UTC,0,0,73
8053475328,2016-05-01 16:00:00 UTC,0,0,73
8053475328,2016-05-01 17:00:00 UTC,0,0,73
8053475328,2016-05-01 18:00:00 UTC,0,0,73
